35,3,-263,103
32,-3,-256,218
34,4,-258,321
14,-38,-233,423
-2,125,-281,526
-1,54,-255,629
-17,-25,-257,732
31,94,-302,835
-33,-22,-226,938
21,0,-250,1041
-70,-60,-272,1144
19,0,-232,1247
59,-8,-253,1350
22,-16,-227,1453
-22,-16,-253,1556
91,-27,-234,1659
29,29,-266,1762
37,17,-319,1865
0,-10,-252,1968
-84,-5,-246,2071
65,60,-297,2174
39,-3,-257,2277
103,26,-281,2380
-98,-22,-291,2483
45,17,-290,2586
23,14,-251,2689
-26,-24,-258,2792
27,-85,-246,2895
1,0,-248,2998
131,52,-223,3101
75,26,-254,3204
36,126,-198,3307
-10,-164,-363,3415
44,116,-214,3518
19,11,-281,3621
120,-124,-271,3724
-5,-32,-240,3827
-33,265,-307,3930
50,-139,-235,4033
45,51,-245,4136
26,97,-278,4239
-9,-127,-241,4342
98,79,-298,4445
10,-4,-282,4548
-90,-45,-219,4651
35,38,-283,4754
38,11,-258,4857
11,-51,-254,4960
-21,-78,-230,5063
93,43,-248,5166
-37,23,-271,5268
-8,-23,-281,5371
32,-17,-245,5474
10,-41,-279,5577
-3,-51,-282,5680
-1,52,-268,5783
37,14,-279,5886
29,-10,-252,5989
81,2,-202,6092
49,70,-289,6195
54,13,-282,6298
22,-7,-230,6401
50,-1,-199,6504
58,29,-266,6614
22,74,-232,6717
57,67,-272,6820
42,-69,-302,6923
45,75,-169,7026
39,27,-280,7129
25,-93,-276,7232
-25,20,-220,7335
43,26,-294,7438
41,117,-268,7540
117,-204,-211,7643
17,208,-275,7746
92,-195,-295,7849
28,222,-283,7952
30,4,-314,8055
71,38,-266,8157
4,6,-254,8260
-27,-71,-246,8362
-5,222,-308,8467
-85,-35,-236,8570
-32,-31,-251,8673
60,50,-293,8776
40,4,-232,8879
45,-13,-245,8981
70,46,-307,9084
-3,-24,-223,9187
-39,-28,-244,9290
41,38,-270,9393
18,25,-287,9496
0,6,-242,9599
126,-66,-229,9702
76,29,-289,9812
175,-34,-290,9915
9,-2,-217,10018
-22,-71,-241,10121
67,48,-250,10224
30,-8,-252,10327
30,23,-248,10430
47,-40,-247,10533
-6,-35,-243,10636
18,-6,-262,10739
55,63,-255,10842
4,73,-252,10945
-8,-202,-370,11047
43,163,-177,11150
56,-239,-403,11252
6,280,-258,11355
-19,13,-265,11458
112,-142,-242,11561
10,96,-264,11664
57,-124,-289,11767
5,249,-313,11870
15,46,-241,11973
4,-186,-237,12076
-42,302,-334,12178
-25,-90,-215,12281
38,58,-285,12384
24,133,-314,12487
49,-134,-249,12590
61,12,-280,12697
15,4,-242,12800
27,-2,-213,12902
33,37,-279,13005
103,-43,-219,13108
53,-2,-259,13211
62,110,-259,13314
1,-16,-268,13417
-9,-35,-245,13520
109,21,-190,13623
50,5,-334,13726
-7,26,-214,13829
-83,-10,-247,13932
210,-124,-320,14035
-1,79,-195,14138
51,-61,-249,14241
49,20,-243,14344
51,27,-279,14447
14,28,-250,14550
18,-17,-243,14653
35,-30,-332,14756
82,119,-193,14859
-22,22,-282,14962
14,-92,-310,15065
-12,-42,-227,15168
32,112,-282,15271
47,27,-311,15374
-32,-104,-237,15477
47,71,-254,15580
84,-31,-284,15686
-15,136,-258,15789
74,-65,-278,15892
45,36,-254,15995
-10,-55,-242,16098
0,101,-297,16201
-51,-54,-249,16304
115,45,-274,16407
-20,-88,-282,16510
-1,19,-292,16613
43,38,-295,16716
-15,-12,-227,16818
85,80,-297,16921
100,49,-295,17024
-7,-64,-240,17127
-48,15,-251,17230
96,-11,-287,17333
19,46,-264,17436
76,-81,-262,17539
15,-35,-292,17642
67,8,-266,17745
